Team Name,Player Name,Position,2023 Salary
KnightHawks,Saquon Barkley,RB,41
KnightHawks,Joe Mixon,RB,35
KnightHawks,Jerry Jeudy,WR,24
KnightHawks,AJ Dillon,RB,11
KnightHawks,Darrell Henderson,RB,10
KnightHawks,DK Metcalf,WR,8
KnightHawks,Tony Pollard,RB,8
KnightHawks,Justin Fields,QB,7
KnightHawks,Tyler Allgeier,RB,6
KnightHawks,Romeo Doubs,WR,5
KnightHawks,Donovan Peoples-Jones,WR,5
KnightHawks,Greg Dulcich,TE,5
KnightHawks,Taysom Hill,TE,5
KnightHawks,Cameron Dicker,K,5
KnightHawks,Mac Jones,QB,5
KnightHawks,Parris Campbell,WR,5
KnightHawks,Demarcus Robinson,WR,5
KnightHawks,Darius Slayton,WR,5
Resident Stevil,Travis Kelce,TE,53
Resident Stevil,Christian McCaffrey,RB,35
Resident Stevil,Michael Thomas,WR,31
Resident Stevil,Stefon Diggs,WR,26
Resident Stevil,D'Onta Foreman,RB,12
Resident Stevil,Dameon Pierce,RB,11
Resident Stevil,Davante Adams,WR,11
Resident Stevil,Christian Watson,WR,10
Resident Stevil,Alvin Kamara,RB,10
Resident Stevil,Lamar Jackson,QB,9
Resident Stevil,Chris Godwin,WR,9
Resident Stevil,Gabe Davis,WR,8
Resident Stevil,Jordan Mason,RB,5
Resident Stevil,Desmond Ridder,QB,5
Resident Stevil,Kenneth Gainwell,RB,5
Resident Stevil,Evan Engram,TE,5
Resident Stevil,Brock Purdy,QB,5
Resident Stevil,Aaron Rodgers,QB,5
Resident Stevil,Jerome Ford,RB,5
Team Mallard,Amari Cooper,WR,55
Team Mallard,Najee Harris,RB,31
Team Mallard,Drake London,WR,22
Team Mallard,Javonte Williams,RB,12
Team Mallard,Russell Wilson,QB,9
Team Mallard,Darnell Mooney,WR,7
Team Mallard,Tee Higgins,WR,7
Team Mallard,Zonovan Knight,RB,7
Team Mallard,Jared Goff,QB,6
Team Mallard,JaMycal Hasty,RB,6
Team Mallard,Jaylen Warren,RB,6
Team Mallard,Zamir White,RB,6
Team Mallard,Jimmy Garoppolo,QB,5
Team Mallard,Cole Kmet,TE,5
Team Mallard,Evan McPherson,K,5
Team Mallard,Jakobi Meyers,WR,5
Team Mallard,Foster Moreau,TE,5
Team Mallard,Cam Akers,RB,5
Team Mallard,Chuba Hubbard,RB,5
Baskin Dobbins,Miles Sanders,RB,64
Baskin Dobbins,CeeDee Lamb,WR,29
Baskin Dobbins,Joe Burrow,QB,26
Baskin Dobbins,J.K. Dobbins,RB,24
Baskin Dobbins,Travis Etienne,RB,24
Baskin Dobbins,Kyle Pitts,TE,24
Baskin Dobbins,Ja'Marr Chase,WR,19
Baskin Dobbins,Allen Lazard,WR,12
Baskin Dobbins,Jaylen Waddle,WR,12
Baskin Dobbins,George Pickens,WR,11
Baskin Dobbins,David Njoku,TE,10
Baskin Dobbins,Aaron Jones,RB,9
Baskin Dobbins,Tua Tagovailoa,QB,6
Baskin Dobbins,Joshua Palmer,WR,6
Baskin Dobbins,Jake Elliott,K,5
Baskin Dobbins,Wan'Dale Robinson,WR,5
Baskin Dobbins,Jason Myers,K,5
Baskin Dobbins,Tyler Conklin,TE,5
Baskin Dobbins,Jamaal Williams,RB,5
Redskins,Josh Jacobs,RB,37
Redskins,JuJu Smith-Schuster,WR,32
Redskins,Cooper Kupp,WR,32
Redskins,David Montgomery,RB,29
Redskins,Brandin Cooks,WR,14
Redskins,Josh Allen,QB,9
Redskins,Rashod Bateman,WR,7
Redskins,Samaje Perine,RB,6
Redskins,Greg Zuerlein,K,5
Redskins,Odell Beckham,WR,5
Redskins,Hayden Hurst,TE,5
Redskins,Gus Edwards,RB,5
Redskins,Geno Smith,QB,5
Redskins,Harrison Butker,K,5
Redskins,Gerald Everett,TE,5
Redskins,Isiah Pacheco,RB,5
Redskins,Nick Folk,K,5
Redskins,Zay Jones,WR,5
Great Britton,D'Andre Swift,RB,29
Great Britton,Kyler Murray,QB,24
Great Britton,Kyler Murray,QB,24
Great Britton,James Conner,RB,17
Great Britton,Courtland Sutton,WR,15
Great Britton,Treylon Burks,WR,15
Great Britton,Tyreek Hill,WR,13
Great Britton,Deebo Samuel,WR,11
Great Britton,James Robinson,RB,7
Great Britton,Damien Harris,RB,7
Great Britton,Damien Harris,RB,7
Great Britton,Dalton Schultz,TE,7
Great Britton,Michael Gallup,WR,7
Great Britton,Nico Collins,WR,6
Great Britton,Calvin Ridley,WR,5
Great Britton,Daniel Bellinger,TE,5
Great Britton,Kenny Pickett,QB,5
Great Britton,Clyde Edwards-Helaire,RB,5
Great Britton,D'Ernest Johnson,RB,5
Great Britton,Isaiah Spiller,RB,5
Great Britton,Kyren Williams,RB,5
Monarchs,DeAndre Hopkins,WR,81
Monarchs,DJ Moore,WR,28
Monarchs,Alexander Mattison,RB,23
Monarchs,Elijah Mitchell,RB,21
Monarchs,Trevor Lawrence,QB,19
Monarchs,Marquise Brown,WR,14
Monarchs,Raheem Mostert,RB,13
Monarchs,Robert Woods,WR,10
Monarchs,Antonio Gibson,RB,8
Monarchs,Ka'imi Fairbairn,K,8
Monarchs,Matt Ryan,QB,7
Monarchs,Mike Williams,WR,7
Monarchs,Jahan Dotson,WR,6
Monarchs,Dawson Knox,TE,6
Monarchs,Mike Gesicki,TE,5
Monarchs,Ben Skowronek,WR,5
Monarchs,Graham Gano,K,5
Monarchs,Keaontay Ingram,RB,5
Werkmonsters,Jonathan Taylor,RB,29
Werkmonsters,Diontae Johnson,WR,28
Werkmonsters,Dak Prescott,QB,25
Werkmonsters,Dak Prescott,QB,25
Werkmonsters,Mike Evans,WR,24
Werkmonsters,Breece Hall,RB,22
Werkmonsters,Jeff Wilson,RB,13
Werkmonsters,Michael Carter,RB,12
Werkmonsters,Nick Chubb,RB,11
Werkmonsters,Jalen Hurts,QB,9
Werkmonsters,Amon-Ra St. Brown,WR,7
Werkmonsters,Dallas Goedert,TE,7
Werkmonsters,Elijah Moore,WR,7
Werkmonsters,Van Jefferson,WR,6
Werkmonsters,Rashaad Penny,RB,5
Werkmonsters,Terrace Marshall,WR,5
Werkmonsters,Chigoziem Okonkwo,TE,5
Werkmonsters,Alec Pierce,WR,5
Werkmonsters,K.J. Osborn,WR,5
Werkmonsters,Malik Willis,QB,5
RLTHAWKS,Dalvin Cook,RB,35
RLTHAWKS,T.J. Hockenson,TE,26
RLTHAWKS,Leonard Fournette,RB,26
RLTHAWKS,Justin Jefferson,WR,23
RLTHAWKS,Kirk Cousins,QB,19
RLTHAWKS,Deshaun Watson,QB,17
RLTHAWKS,Trey Lance,QB,12
RLTHAWKS,Tom Brady,QB,12
RLTHAWKS,Chris Olave,WR,11
RLTHAWKS,Austin Ekeler,RB,9
RLTHAWKS,George Kittle,TE,9
RLTHAWKS,Daniel Carlson,K,6
RLTHAWKS,Tyler Boyd,WR,6
RLTHAWKS,DJ Chark,WR,6
RLTHAWKS,Brian Robinson,RB,6
RLTHAWKS,Marquez Valdes-Scantling,WR,5
RLTHAWKS,Noah Fant,TE,5
RLTHAWKS,Jerick McKinnon,RB,5
RLTHAWKS,Brandon McManus,K,5
Hair Force Blue,Tyler Lockett,WR,17
Hair Force Blue,Tyler Higbee,TE,13
Hair Force Blue,Keenan Allen,WR,11
Hair Force Blue,Terry McLaurin,WR,10
Hair Force Blue,Matthew Stafford,QB,8
Hair Force Blue,Kareem Hunt,RB,8
Hair Force Blue,Justin Tucker,K,7
Hair Force Blue,Robbie Anderson,WR,7
Hair Force Blue,Mecole Hardman,WR,7
Hair Force Blue,Tyrion Davis-Price,RB,6
Hair Force Blue,Rondale Moore,WR,6
Hair Force Blue,Curtis Samuel,WR,6
Hair Force Blue,Austin Hooper,TE,6
Hair Force Blue,Ryan Tannehill,QB,5
Hair Force Blue,Matthew Wright,K,5
Hair Force Blue,Marcus Mariota,QB,5
Hair Force Blue,Isaiah McKenzie,WR,5
Hair Force Blue,Gardner Minshew,QB,5
Hair Force Blue,Travis Homer,RB,5
War Machine,Julio Jones,WR,67
War Machine,Ezekiel Elliott,RB,43
War Machine,Kenneth Walker,RB,17
War Machine,Michael Pittman,WR,13
War Machine,DeVonta Smith,WR,12
War Machine,Adam Thielen,WR,12
War Machine,Patrick Mahomes,QB,10
War Machine,Allen Robinson,WR,9
War Machine,Derek Carr,QB,7
War Machine,Pat Freiermuth,TE,7
War Machine,Kadarius Toney,WR,6
War Machine,Jordan Love,QB,6
War Machine,Khalil Herbert,RB,6
War Machine,Trey McBride,TE,6
War Machine,Hassan Haskins,RB,5
War Machine,Latavius Murray,RB,5
War Machine,Brett Maher,K,5
War Machine,Drew Lock,QB,5
Healthy Scratch ,Devin Singletary,RB,18
Healthy Scratch ,Brandon Aiyuk,WR,13
Healthy Scratch ,Garrett Wilson,WR,11
Healthy Scratch ,Jameson Williams,WR,11
Healthy Scratch ,A.J. Brown,WR,10
Healthy Scratch ,Mark Andrews,TE,10
Healthy Scratch ,Darren Waller,TE,10
Healthy Scratch ,Derrick Henry,RB,9
Healthy Scratch ,Skyy Moore,WR,8
Healthy Scratch ,Justin Herbert,QB,7
Healthy Scratch ,Rachaad White,RB,6
Healthy Scratch ,Daniel Jones,QB,6
Healthy Scratch ,Rhamondre Stevenson,RB,6
Healthy Scratch ,Christian Kirk,WR,6
Healthy Scratch ,Chase Claypool,WR,6
Healthy Scratch ,Tyler Bass,K,6
Healthy Scratch ,Michael Badgley,K,5
Healthy Scratch ,Juwan Johnson,TE,5
