Pick Number,Team Name,Player Name,Position,2023 Salary
1,Great Britton,Bijan Robinson,RB,25
2,Team Mallard,Jahmyr Gibbs,RB,20
3,Team Mallard,Jaxon Smith-Njigba,WR,20
4,Great Britton,Quentin Johnston,WR,15
5,War Machine,Zach Charbonnet,RB,15
6,KnightHawks,Jordan Addison,WR,10
7,Werkmonsters,Zay Flowers,WR,10
8,Redskins,Anthony Richardson,QB,10
9,Healthy Scratch ,Dalton Kincaid,TE,10
10,War Machine,Sam LaPorta,TE,10
11,St. Louis Crows,Kendre Miller,RB,10
12,RLTHAWKS,Jonathan Mingo,WR,10
13,Healthy Scratch ,De'Von Achane,RB,5
14,Great Britton,Rashee Rice,WR,5
15,Team Mallard,Marvin Mims,WR,5
16,St. Louis Crows,Bryce Young,QB,5
17,War Machine,Roschon Johnson,RB,5
18,KnightHawks,C.J. Stroud,QB,5
19,Werkmonsters,Tank Bigsby,RB,5
20,Werkmonsters,Jayden Reed,WR,5
21,Team Mallard,Michael Mayer,TE,5
22,Great Britton,Tyjae Spears,RB,5
23,Baskin Dobbins,Chase Brown,RB,5
24,RLTHAWKS,Israel Abanikanda,RB,5
25,Hair Force Blue,Zach Evans,RB,1
26,Healthy Scratch ,Jalin Hyatt,WR,1
27,Great Britton,Luke Musgrave,TE,1
28,St. Louis Crows,Josh Downs,WR,1
29,War Machine,Cedric Tillman,WR,1
30,KnightHawks,Tank Dell,WR,1
31,Werkmonsters,DeWayne McBride,RB,1
32,Redskins,Darnell Washington,TE,1
33,Healthy Scratch ,Tyler Scott,WR,1
34,Baskin Dobbins,Luke Schoonmaker,TE,1
35,Great Britton,Michael Wilson,WR,1
36,RLTHAWKS,Evan Hull,RB,1
37,Hair Force Blue,Sean Tucker,RB,1
38,Great Britton,Jake Moody,K,1
39,Team Mallard,A.T. Perry,WR,1
40,St. Louis Crows,Deuce Vaughn,RB,1
41,War Machine,Brandon Aubrey,K,1
42,KnightHawks,Xavier Hutchinson,WR,1
43,Werkmonsters,Puka Nacua,WR,1
44,Redskins,Demario Douglas,WR,1
45,Healthy Scratch ,Justin Shorter,WR,1
46,Resident Stevil,Chad Ryland,K,1
47,Hair Force Blue,Eric Gray,RB,1
48,RLTHAWKS,Anders Carlson,K,1
